facility,id,lat,lon,year,month,cases,population,time
Choma_Health_Centre,cIJ6LCvgpw0,-11.31318,33.99327,2025,1,1681.0,1.4524619579315186,2025-01
Chombe_Dispensary,jEytE0lhKjS,-11.648044,34.213834,2025,1,1029.0,16.313438415527344,2025-01
Chonde_Rural_Hospital,TusMbw27jzb,-15.99708,35.32333,2025,1,767.0,51.87003707885742,2025-01
Chongoni_Health_Centre,LkjXIWw5W9v,-14.31971,34.26677,2025,1,139.0,8.195723533630371,2025-01
Chulu_Health_Centre,n18VsHigwU8,-12.82192,33.30816,2025,1,4750.0,22.99799346923828,2025-01
Chuluchosema_Health_Centre,dXMVNUTar8Q,-15.4429457,35.3669177,2025,1,380.0,7.0930609703063965,2025-01
City_Clinic_Zomba,DMxPrQcg4z4,-15.39072,35.32416,2025,1,471.0,22.53976821899414,2025-01
Cobbe_Barracks_Hospital,rzzi29nBvbs,-15.39094,35.30534,2025,1,1116.0,34.97773742675781,2025-01
Comfort_Health_Centre,JaTdpYBBV5m,-15.00318,34.95244,2025,1,375.0,40.202980041503906,2025-01
Daeyang_Luke_Hospital,LKsJWFXsxOB,-13.87684,33.80867,2025,1,491.0,16.34092903137207,2025-01
David_Gordon_Memorial_Hospital_(Livingstonia_Mission_Hospital),FoWBNiRRWnB,-10.60467,34.1109,2025,1,1145.0,20.788026809692383,2025-01
Dedza_District_Hospital,K5sEB29YW3W,-14.38596,34.33547,2025,1,738.0,30.30810546875,2025-01
Diamphwe_Health_Centre,BWBOtEvaMkr,-14.13232,34.08124,2025,1,2628.0,34.02665328979492,2025-01
Dickson_Health_Centre,aKJzwDfSJqM,-14.26626,33.65885,2025,1,2306.0,51.16033935546875,2025-01
Didi_Health_Centre,AkP3EOq0hGk,-16.06096,34.98999,2025,1,638.0,38.12614440917969,2025-01
Dolo_Health_Centre,SOwb9qUKJnt,-16.55349,34.92423,2025,1,83.0,10.888106346130371,2025-01
Domasi_Rural_Hospital,U0YwDhBOZeY,-15.28099,35.39935,2025,1,2835.0,16.816486358642578,2025-01
Doviko_Dispensary,kG4jZtoHH8f,-15.0822,34.59094,2025,1,286.0,43.298702239990234,2025-01
Dowa_District_Hospital,F4aQvPL4c5a,-13.65432,33.93625,2025,1,4297.0,49.26274490356445,2025-01
Dr_David_Livingstone_Memorial_Clinic,KvtV3ZtJGyR,-13.98173,33.78813,2025,1,2.0,9.856217384338379,2025-01
Dwambazi_Rural_Hospital,GFQSwXAzql8,-12.23405,33.99194,2025,1,1239.0,17.924970626831055,2025-01
Dwangwa_Cane_Growers_Limited_Dispensary,w6VRxc89b5K,-12.52114,34.1191,2025,1,415.0,29.200223922729492,2025-01
Dwangwa_Health_Centre,n89uKexauZq,-12.88142,33.4537,2025,1,1601.0,11.320052146911621,2025-01
Dzaleka_Refugee_Camp_Health_Centre,b1RogeavIPD,-13.66168,33.87042,2025,1,3114.0,77.72160339355469,2025-01
Dzenje_Health_Centre,nMp06ehwoOX,-16.11695,35.40558,2025,1,1629.0,22.129486083984375,2025-01
Dzenza_Health_Centre,hpUbeZgjQkx,-13.87598,33.74689,2025,1,52.0,26.380125045776367,2025-01
Dzimbiri_Dispensary,phlM33pe5Bz,-16.102022,34.99722,2025,1,0.0,33.73177719116211,2025-01
Dzindevu_Health_Centre,QL1C4nvZVLn,-14.20004,34.35998,2025,1,265.0,31.415328979492188,2025-01
Dziwe_Health_Centre,axZoBBHwZo2,-15.102454,35.140784,2025,1,249.0,15.689356803894043,2025-01
Dziwe_Health_Centre_(Blantyre),hnbxxugq3Ds,-15.563612,34.88037,2025,1,3390.0,17.760324478149414,2025-01
Dzonzi-Mvai_Health_Centre,fH7hgQtTEvy,-14.94827,34.64306,2025,1,5.0,5.07317590713501,2025-01
Dzoole_Health_Centre,lykzV97DJgq,-13.58537,33.66156,2025,1,2793.0,40.79193878173828,2025-01
Dzunje_Dispensary,mxlb6XxX6cp,-14.80787,34.73608,2025,1,1545.0,13.05192756652832,2025-01
Edingeni_Rural_Hospital,gWTmNAQxkV8,-12.04072,33.31295,2025,1,1716.0,21.051149368286133,2025-01
Ehehleni_Dispensary,RdbkvuyiIKf,-12.2621,33.58912,2025,1,1681.0,4.0778069496154785,2025-01
Ekwaiweni_Health_Centre,AlGl0pjBwFS,-11.42309,33.89766,2025,1,1178.0,5.543348789215088,2025-01
Ekwendeni_College_of_Health_Science,RddujnZHyfx,-11.374623,33.8786,2025,1,13.0,21.81817626953125,2025-01
Ekwendeni_Mission_Hospital,jcv5nI6bzTq,-11.37156,33.88342,2025,1,640.0,48.53042221069336,2025-01
Embangweni_Mission_Hospital,ySElKKfe6yc,-12.13665,33.47681,2025,1,615.0,20.165283203125,2025-01
Emfeni_Health_Centre,ihG7TCzUsYI,-12.59406,33.60976,2025,1,2840.0,6.6549859046936035,2025-01
Emsizini_Health_Centre,HFKrnnX40ZR,-11.44435,33.82485,2025,1,1609.0,8.26175308227539,2025-01
Endindeni_Health_Centre,J3iNTezM5iw,-11.75818,33.5561,2025,1,932.0,11.35897445678711,2025-01
Engalaweni_Health_Centre,zgUEtAzpJLy,-11.908296,33.365893,2025,1,102.0,4.776753902435303,2025-01
Engucwini_Health_Centre,Tt5yMX4YCYJ,-11.19761,33.82314,2025,1,1044.0,9.927796363830566,2025-01
Enukweni_Health_Centre,nmptn9bUYXv,-11.18005,33.88592,2025,1,1245.0,11.910740852355957,2025-01
Enukweni_Mission_Health_Centre,OvpduRMmYdH,-11.18005,33.88592,2025,1,231.0,11.910740852355957,2025-01
Euthini_Rural_Hospital,a7zgH8mf2GX,-11.45836,33.41925,2025,1,2096.0,12.877968788146973,2025-01
Eva_Demaya_Centre_,crKYTgv7r7B,-10.96002,33.64862,2025,1,83.0,13.780793190002441,2025-01
Factory_Clinic_(Illovo_Private),qhmT1RSZunv,-16.25773,34.89181,2025,1,11.0,17.95856475830078,2025-01
Fanuel_Dispensary,faV6jPVs9bj,-13.504399,33.036243,2025,1,1382.0,8.29226303100586,2025-01
Fpam_Clinic_Kawale,xH7lnew9T1J,-13.99076,33.79949,2025,1,7.0,115.09915161132812,2025-01
Fulirwa_Health_Centre,UNLZJ1Nr3sq,-10.44772,34.11211,2025,1,414.0,13.747477531433105,2025-01
Gaga_Health_Centre,ilA4dQOCNDP,-15.80678,34.36487,2025,1,1198.0,21.056493759155273,2025-01
Ganya_Health_Centre,eWHvY4VmR4R,-14.60964,34.61808,2025,1,39.0,29.762069702148438,2025-01
Gate_way_Clinic,rBhHYqxxhyM,-15.804572,35.017828,2025,1,178.0,17.01842498779297,2025-01
Gawanani_Health_Centre,GEb1hObhM4q,-15.2238,35.20293,2025,1,540.0,14.150309562683105,2025-01
Gogo_Nazombe_health_centre,cTMzhKP8OCf,-15.75233,35.77498,2025,1,775.0,0.2651920020580292,2025-01
Gogode_Health_Centre,HcsIEmls8R2,-12.88773,33.56134,2025,1,1504.0,8.199214935302734,2025-01
Gola_Dispensary,u4cfHib3TrT,-15.88397,34.29931,2025,1,658.0,4.67257022857666,2025-01
Golomoti_Health_Centre,DuvCctg3dhx,-14.41303,34.60092,2025,1,1499.0,65.82313537597656,2025-01
